species:ncbi:36911	Clavispora lusitaniae
species:ncbi:113286	Pseudoramibacter
species:ncbi:192812	Erythrobacter flavus
species:ncbi:46223	Thermoflavimicrobium dichotomicum 
species:ncbi:33618	pelícano blanco americano
species:ncbi:861	Fusobacterium ulcerans
species:ncbi:74593	Cylicodontophorus mettami 
species:ncbi:190818	Geoglobus
species:ncbi:2169971	virus visna
species:ncbi:113446	Echium lycopis
species:ncbi:29393	de Dolosigranulum 
species:ncbi:4761	Chytridiomycota 
species:ncbi:74201	Verrucomicrobia
species:ncbi:156442	Panstrongylus geniculatus
species:ncbi:103729	Actinokineospora globicatena 
species:ncbi:662032	Ixodes canisuga 
species:ncbi:71941	Hygrophorus 
species:ncbi:870	Dichelobacter nodosus
species:ncbi:347696	Triatoma recurva
species:ncbi:8605	Acanthophis antarcticus
species:ncbi:44746	Holosporaceae 
species:ncbi:161492	Anaeromyxobacter 
species:ncbi:6213	Echinococcus vogeli
species:ncbi:85265	Phaeospirillum 
species:ncbi:56341	halconcito filipino
species:ncbi:35302	virus de la parainfluenza aviaria,  2, cepa Yucaipa 
species:ncbi:86187	Pseudomonas flectens
species:ncbi:210640	Moxostoma hubbsi 
species:ncbi:8180	Centrarchidae
species:ncbi:135448	tejedor cabecinegro 
species:ncbi:869	s de Dichelobacter
species:ncbi:343	Xanthomonas translucens
species:ncbi:1548395	Hormographiella
species:ncbi:394690	Sebastes dalli 
species:ncbi:36922	Diaporthe
species:ncbi:446415	pez de plata
species:ncbi:9079	perdiz roja 
species:ncbi:43817	sub culicinae 
species:ncbi:66921	Benedenia 
species:ncbi:414608	Cheilanthes distans 
species:ncbi:9855	Axis
species:ncbi:1868	Actinoplanes digitatis 
species:ncbi:1114208	Paracooperia, SAI
species:ncbi:9	Buchnera aphidicola
species:ncbi:59408	Philippine trogon 
species:ncbi:107265	Cricetomys emini 
species:ncbi:1208751	White-eared bulbul 
species:ncbi:427072	Bacillus chagannorensis
species:ncbi:284033	Streptomyces indiaensis
species:ncbi:314000	Xenistius californiensis
species:ncbi:46017	virus del herpes del conejo
species:ncbi:260554	Brevibacterium halotolerans 
species:ncbi:424882	Lalage nigra
species:ncbi:1231522	Candida duobushaemulonii
species:ncbi:10275	suipoxvirus
species:ncbi:356903	gorrión nival
species:ncbi:1233216	Lyrurus tetrix 
species:ncbi:205845	Gliocephalis
species:ncbi:6083	hidra
species:ncbi:862	s de Syntrophosphora 
species:ncbi:13038	Daubentonia 
species:ncbi:114431	Cyanoramphus
species:ncbi:545931	Entamoeba muris
species:ncbi:399589	garza mora
species:ncbi:201695	Enneacanthus chaetodon
species:ncbi:34885	Eumetopias
species:ncbi:8874	sirirí colorado
species:ncbi:290184	Cryptanaerobacter 
species:ncbi:1172174	Nucleophaga
species:ncbi:118747	de Bulleidia
species:ncbi:963	Herbaspirillum
species:ncbi:46786	Polygonum
species:ncbi:120107	Sphingobium cloacae
species:ncbi:240203	paloma antártica blanca 
species:ncbi:79923	Clonorchis sinensis
species:ncbi:3750	Malus domestica
species:ncbi:3873	Lupinus luteus 
species:ncbi:13076	Globicatella sanguinis
species:ncbi:681198	paradisea mayor 
species:ncbi:8103	Cyclopterus lumpus 
species:ncbi:1182775	Canthidermis sufflamen 
species:ncbi:94179	Arctictis
species:ncbi:101185	Opsanus pardus
species:ncbi:195930	Ralstonia respiraculi
species:ncbi:68254	Streptomyces phaeofaciens
species:ncbi:59534	Oryx dammah
species:ncbi:54247	Hyperthermus
species:ncbi:30863	Pomacentridae
species:ncbi:3208	división Bryophyta 
species:ncbi:256741	Latrodectus pallidus 
species:ncbi:33941	Geobacillus thermoleovorans
species:ncbi:507596	Recurvirostra andina
species:ncbi:169765	Mycobacterium lacus
species:ncbi:9630	Vulpes macrotis 
species:ncbi:99684	Prosthodendrium 
species:ncbi:343691	Hermetia illucens 
species:ncbi:504331	cuatro ojos
species:ncbi:129233	Cephalophus zebra
species:ncbi:539	Bacteroides corrodens
species:ncbi:186188	Xylanimonas 
species:ncbi:44570	Simuliini
species:ncbi:60919	Sanguibacter
species:ncbi:100177	Borrelia lusitaniae 
species:ncbi:223777	Busarellus nigricollis 
species:ncbi:9447	lemur de cola en anillo
species:ncbi:11676	virus de la inmunodeficiencia humana,  I 
species:ncbi:1653170	Acetofilamentum rigidum 
species:ncbi:121611	Penicillium dierckxii
species:ncbi:66848	Desulfonatronum
species:ncbi:116570	Gymnoplea
species:ncbi:53426	Sulfophobococcus zilligii 
species:ncbi:6924	Latrodectus mactans mactans
species:ncbi:283367	blenia en medialuna
species:ncbi:7203	sub Brachycera 
species:ncbi:1980456	virus Andes
species:ncbi:967	s de Spirillum
species:ncbi:276	Thermus filiformis 
species:ncbi:114598	Lutzomyia verrucarum
species:ncbi:200667	Flammeovirgaceae
species:ncbi:4909	Candida krusei 
species:ncbi:8094	cuervo de mar
species:ncbi:688353	Lichtheimia
species:ncbi:361449	Rainbow bee-eater 
species:ncbi:187130	paloma faisán
species:ncbi:30404	Rollulus 
species:ncbi:661228	Agonostomus monticola
species:ncbi:347015	Averyella dalhousiensis 
species:ncbi:54362	Laterallus
species:ncbi:84590	Taylorella asinigenitalis 
species:ncbi:54254	Thermosphaera aggregans
species:ncbi:67362	Streptomyces rubiginosohelvolus 
species:ncbi:28450	Pseudomonas pseudomallei (concepto no activo)
species:ncbi:9052	Perdix perdix 
species:ncbi:1072564	Klossia, SAI
species:ncbi:206029	Panicum schinzii
species:ncbi:8801	avestruz
species:ncbi:46261	róbalo amarillo
species:ncbi:1181893	uranocóspido flecha
species:ncbi:48435	Steatornis caripensis
species:ncbi:34451	Cortinarius 
species:ncbi:6946	super Acariformes
species:ncbi:156446	Pentalagus 
species:ncbi:34999	Thamnophis 
species:ncbi:57776	Acanthemblemaria aspera
species:ncbi:40834	Borrelia duttonii 
species:ncbi:283161	arasari de collar 
species:ncbi:94906	Bogertophis subocularis
species:ncbi:722433	ronco
species:ncbi:1517834	Dendrocopos minor
species:ncbi:136996	Rhizobium lupini 
species:ncbi:7395	Glossina austeni
species:ncbi:364030	Thiomonas delicata 
species:ncbi:13492	ébano
species:ncbi:68334	Erwinia aphidicola 
species:ncbi:8953	Falco columbarius
species:ncbi:57436	Jamaican tody 
species:ncbi:3700	brassicaceae - cruciferae - mostaza 
species:ncbi:45553	Candida galacta 
species:ncbi:56256	Sagittaridae 
species:ncbi:6938	Ornithodoros moubata
species:ncbi:293911	Fodiator acutus 
species:ncbi:182936	Black and white warbler 
species:ncbi:10326	herpesvirus  1 de los équidos 
species:ncbi:40200	Pipilo 
species:ncbi:108028	Arcanobacterium pluranimalium 
species:ncbi:249588	Mamastrovirus
species:ncbi:8241	Thunnus obesus
species:ncbi:582475	Lysinibacillus xylanilyticus
species:ncbi:2169994	virus Paraná
species:ncbi:68298	Syntrophomonadaceae
species:ncbi:630691	Urophycis floridana
species:ncbi:118783	jaçana africana 
species:ncbi:1156094	lucio negro
species:ncbi:5051	Acremonium persicinum 
species:ncbi:8731	Crotalus durissus 
species:ncbi:16	Methylophilus
species:ncbi:43890	Swietenia
species:ncbi:2215	Methanosarcina vacuolata 
species:ncbi:44088	virus de la viruela del canario 
species:ncbi:1972612	virus Flanders 
species:ncbi:308097	Apogon quadrisquamatus
species:ncbi:147061	Turdoides
species:ncbi:9358	perezoso de dos dedos de Hoffman 
species:ncbi:38395	corretroncos
species:ncbi:182955	Wren-thrush
species:ncbi:1357	Lactococcus 
species:ncbi:6681	Malacostracean
species:ncbi:45465	Pseudomonas indigofera 
species:ncbi:251	Psychroflexus gondwanensis
species:ncbi:33884	Bacterium imperiale
species:ncbi:60450	Kribbella sandramycini
species:ncbi:5705	Endotrypanum monterogei 
species:ncbi:78058	Bacillus lentimorbus 
species:ncbi:35537	Neophema petrophila
species:ncbi:53658	Pichia pseudocactophila
species:ncbi:374432	Methylobacterium tardum
species:ncbi:8717	Agkistrodon rhodostoma 
species:ncbi:1182013	morro blanco
species:ncbi:54002	Triodontophorus serratus
species:ncbi:4797	: Pythium
species:ncbi:264027	Algoriphagus marincola
species:ncbi:46260	Morone americana
species:ncbi:9624	Otocyon megalotis 
species:ncbi:48424	Nyctibius 
species:ncbi:84836	molotro brillante
species:ncbi:1686	Bifidobacterium catenulatum 
species:ncbi:53182	virus sincitial felino
species:ncbi:329109	Culiseta melanura 
species:ncbi:1923	Streptomyces phaeochromogenes
species:ncbi:106590	Wautersia eutropha 
species:ncbi:459	s de Legionella
species:ncbi:34014	Blastobacter capsulatus 
species:ncbi:109446	córvido piñonero
species:ncbi:83263	Pseudomonas aminovorans
species:ncbi:54254	Thermosphaera aggregans 
species:ncbi:109297	Elaphodus
species:ncbi:43070	Eryngium 
species:ncbi:28081	de Bordetella 
species:ncbi:9463	gran galago 
species:ncbi:182421	Ariosoma balearicum
species:ncbi:48155	arañero cara negra 
species:ncbi:417911	Dicentra cucullaria 
species:ncbi:51665	Pediococcus urinae-equi 
species:ncbi:103621	Actinomyces urogenitalis 
species:ncbi:34611	Boophilus annulatus
species:ncbi:11709	virus de la inmunodeficiencia humana,  2 
species:ncbi:84104	Plagiorchis
species:ncbi:8888	Tadorna
species:ncbi:1255681	s del  Acinetobacter 
species:ncbi:118185	Galbulidae 
species:ncbi:9711	Halichoerus grypus 
species:ncbi:34488	Conidiobolus coronatus
species:ncbi:50241	Veratrum
species:ncbi:52432	Clemmys 
species:ncbi:164330	Thauera aminoaromatica 
species:ncbi:57780	Xererpes fucorum
species:ncbi:28838	Nematodirus 
species:ncbi:45899	Kalmia polifolia
species:ncbi:161154	Thermanaeromonas toyohensis 
species:ncbi:208479	Clostridium bolteae 
species:ncbi:23030	Sempervivum
species:ncbi:8596	Heterodon 
species:ncbi:267408	Arsenicicoccus 
species:ncbi:53370	Pilimelia
species:ncbi:35608	Artemisia annua 
species:ncbi:73321	reyezuelo de rojo
species:ncbi:108437	Comamonas nitrativorans
species:ncbi:60035	Geobacter bremensis 
species:ncbi:44625	Helvella lacunosa 
species:ncbi:190898	Desulfotignum phosphitoxidans
species:ncbi:186831	Acetoanaerobium
species:ncbi:49341	Methanothermobacter thermophilus 
species:ncbi:328813	Alistipes onderdonkii
species:ncbi:76947	Sphingobium herbicidovorans 
species:ncbi:8606	Aspidelaps
species:ncbi:310300	Bacteroides suis
species:ncbi:203315	Gobiosoma ginsburgi
species:ncbi:1542959	Isoparorchis trisimilitubus 
species:ncbi:136841	de Pseudomonas aeruginosa
species:ncbi:147549	Pezizomycetes
species:ncbi:268180	Cryptotrichosporon anacardii 
species:ncbi:41805	babirusa
species:ncbi:286	Pseudomonas
species:ncbi:2042489	Eimeria spinosa
species:ncbi:187428	Euplectes
species:ncbi:4164	dedalera
species:ncbi:119861	Haloalcalophilium
species:ncbi:180252	Mardivirus
species:ncbi:76126	Coriolopsis gallica 
species:ncbi:50366	Somateria 
species:ncbi:259390	Nocardia takedensis 
species:ncbi:99116	Penicillium olsonii 
species:ncbi:1534734	Xanthium orientale 
species:ncbi:8845	ánsar cisnal
species:ncbi:50174	Ximenia americana 
species:ncbi:46358	s de Bartonella
species:ncbi:258255	Pseudovibrio
species:ncbi:54767	Desulfovibrio indonesiensis 
species:ncbi:83767	Propionivibrio dicarboxylicus 
species:ncbi:159579	zorzal de cara gris
species:ncbi:227034	Gonytrichum
species:ncbi:1647799	Mycoacia fuscoatra 
species:ncbi:1364913	Alaudala raytal
species:ncbi:221904	Hydrotaea 
species:ncbi:44066	Geotrichum fermentans 
species:ncbi:2944	Prorocentrum
species:ncbi:212742	Morococcus
species:ncbi:290110	Xenorhabdus budapestensis
species:ncbi:130404	Piper methysticum
species:ncbi:1980289	Ledum glandulosum
species:ncbi:41395	Tectona
species:ncbi:105851	Acidilobus aceticus 
species:ncbi:72094	Sebastes pinniger 
species:ncbi:148076	Diaemus 
species:ncbi:1239577	astrovirus ovino 
species:ncbi:73419	Nasitrema, SAI
species:ncbi:307978	Pseudobranchus striatus
species:ncbi:1459822	Ancylopsetta dilecta
species:ncbi:82525	Tausonia pullulans 
species:ncbi:125366	Uncinaria, SAI
species:ncbi:595984	Dietzia aerolata 
species:ncbi:879513	Lupinoblennius dispar
species:ncbi:1182198	Pempheris schomburgki
species:ncbi:304	Pelomonas saccharophila
species:ncbi:338153	sub Pantherinae
species:ncbi:123380	solitarios
species:ncbi:1608255	citomegalovirus de los cerdos
species:ncbi:2735	Verrucomicrobium
species:ncbi:51870	Eryx johni 
species:ncbi:1311416	Bellator militaris 
species:ncbi:176935	cartacuba pedorrera 
species:ncbi:161740	thinocoridae
species:ncbi:1612	Lactobacillus farciminis
species:ncbi:11082	virus West Nile
species:ncbi:83617	Stenotrophomonas nitritireducens
species:ncbi:247741	Poephila cincta 
species:ncbi:34069	Telluria 
species:ncbi:59549	sub Reduncinae
species:ncbi:768	de Anaplasma 
species:ncbi:331654	Alkalibacillus
species:ncbi:9030	Gallus
species:ncbi:1848903	Capnocytophaga canis
species:ncbi:69366	Microbacterium flavescens
species:ncbi:75906	Thermocrinis ruber 
species:ncbi:577	Raoultella terrigena 
species:ncbi:325462	Lambdapapillomavirus
species:ncbi:69473	Acholeplasma vituli 
species:ncbi:83770	Succinivibrio
species:ncbi:8731	Crotalus durissus
species:ncbi:352449	Giesbergeria 
species:ncbi:28683	Alcidae
species:ncbi:267894	Psychromonadaceae
species:ncbi:88164	Lactobacillus fornicalis
species:ncbi:1028423	Ceratocystidaceae
species:ncbi:110932	Leifsonia 
species:ncbi:125952	Vermivora ruficapilla
species:ncbi:82984	s de Pragia
species:ncbi:549	Erwinia herbicola (concepto no activo)
species:ncbi:163808	Percina aurantiaca
species:ncbi:36274	Leiothrix 
species:ncbi:55661	European cuckoo 
species:ncbi:85260	Rourea
species:ncbi:300020	Flavobacterium maritypicum
species:ncbi:8902	caprimulgiformes 
species:ncbi:59532	Kobus megaceros 
species:ncbi:93063	Sphingomonas aquatilis
species:ncbi:9227	Psittacula 
species:ncbi:1886	Streptomyces albidoflavus 
species:ncbi:9818	Orycteropus afer
species:ncbi:506594	Brevibacterium pityocampae 
species:ncbi:46478	Aerodramus fuciphogus 
species:ncbi:216945	Spiroplasma syrphidicola
species:ncbi:533320	Notropis chihuahua
species:ncbi:127928	Leucopsar
species:ncbi:4539	Panicum
species:ncbi:1608523	Candida deformans
species:ncbi:46909	Crithidia luciliae
species:ncbi:517	Bordetella
species:ncbi:44262	Oxalophagus
species:ncbi:39845	Actinokineospora
species:ncbi:147067	Thermobispora
species:ncbi:169292	Corynebacterium aurimucosum
species:ncbi:225057	Acidithiobacillales
species:ncbi:1109163	Apogon affinis 
species:ncbi:9843	vicuña 
species:ncbi:8487	Testudinidae 
species:ncbi:141271	cacatúa de moño naranja
species:ncbi:57514	escarabajo de la basura
species:ncbi:28122	Fibrobacter intestinalis 
species:ncbi:64446	Morpho 
species:ncbi:28714	pico corvo negro
species:ncbi:777	Coxiella burnetii
species:ncbi:215279	Alaemon
species:ncbi:1126	Microcystis aeruginosa 
species:ncbi:1598	producto con Lactobacillus reuteri
species:ncbi:196751	Erimyzon sucetta
species:ncbi:749617	Didymella nigricans 
species:ncbi:304287	Cottus princeps
species:ncbi:93683	Roseivivax halodurans 
species:ncbi:337	Burkholderia glumae
species:ncbi:9608	perros
species:ncbi:88178	Pipra
species:ncbi:296842	Desulfovibrio carbinolicus 
species:ncbi:1280157	Cotylophoron 
species:ncbi:255528	Victivallaceae
species:ncbi:172131	Trachinocephalus myops
species:ncbi:1639859	Hura polyandra 
species:ncbi:31017	Ariidae 
species:ncbi:41396	Tectona grandis 
species:ncbi:119562	Sylvicapra grimmia
species:ncbi:241477	Soboliphyme 
species:ncbi:145263	Methanothermobacter marburgensis 
species:ncbi:466520	Threlkeldia
species:ncbi:54349	Etheostoma whipplei 
species:ncbi:2038	Tropheryma
species:ncbi:3484	Humulus 
species:ncbi:211382	super Mermithoidea 
species:ncbi:55698	Stagnicola emarginata 
species:ncbi:65504	Virgisporangium 
species:ncbi:203861	de Aegyptianella
species:ncbi:176577	Sartwellia flaveriae
species:ncbi:64495	Rhizopus arrhizus 
species:ncbi:11628	virus de la fiebre hemorrágica boliviana
species:ncbi:398979	Diaptomus
species:ncbi:857427	Microbacterium hydrothermale 
species:ncbi:371720	Streptomyces monomycini
species:ncbi:137658	Pseudomonas indica
species:ncbi:391620	perdicita
species:ncbi:71753	Gila ditaenia 
species:ncbi:8397	Ranidae
species:ncbi:7952	cypriniformes
species:ncbi:6880	Centruroides suffusus 
species:ncbi:409034	Ichthyomyzon castaneus 
species:ncbi:151719	Coryphopterus punctipectophorus 
species:ncbi:29196	Acanthamoeba lenticulata 
species:ncbi:1298	de Deinococcus
species:ncbi:42725	rata marsupial de cuatro ojos
species:ncbi:51358	Dryocopus
species:ncbi:41617	Osteospermum 
species:ncbi:1446380	Pinales 
species:ncbi:258929	murciélago cola peluda
species:ncbi:146474	Acetobacter orientalis 
species:ncbi:71763	Eremichthys acros 
species:ncbi:51751	Python regius 
species:ncbi:1342384	Botryomyces caespitosus 
species:ncbi:9869	Rangifer
species:ncbi:232994	Notropis harperi
species:ncbi:1677	Arthrobacter pascens
species:ncbi:94136	Alkalibacillus haloalkaliphilus 
species:ncbi:173053	Tetrasphaera duodecadis 
species:ncbi:417927	Etheostoma jessiae 
species:ncbi:10001	Sciurus 
species:ncbi:184440	róbalo negro de mar
species:ncbi:101163	Trimeresurus purpureomaculatus 
species:ncbi:8466	Caretta 
species:ncbi:1036770	Acremonium vitellinum 
species:ncbi:218672	Sulfitobacter delicatus 
species:ncbi:3704	Armoracia rusticana
species:ncbi:2078	Sporolactobacillus inulinus 
species:ncbi:56299	chocha americana 
species:ncbi:33910	Amycolatopsis mediterranei
species:ncbi:171442	Sporichthya brevicatena 
species:ncbi:507	Alcaligenes 
species:ncbi:9903	Bos
species:ncbi:7745	Petromyzontiformes
species:ncbi:48283	Caprimulgidae
species:ncbi:69956	Forpus 
species:ncbi:194684	Ceriporia lacerata 
species:ncbi:8064	batrachoidiformes
species:ncbi:43908	Guarea 
species:ncbi:10385	virus del herpes bóvido 4 
species:ncbi:470868	Achromobacter marplatensis 
species:ncbi:161456	Gasterosteus wheatlandi 
species:ncbi:6292	Wuchereria 
species:ncbi:773	Bartonella 
species:ncbi:116906	Notocotylus
species:ncbi:7392	Glossinidae 
species:ncbi:13516	Eupatorium
species:ncbi:29065	Martes martes
species:ncbi:34977	Leptotyphlopidae
species:ncbi:6744	super Paguroidea 
species:ncbi:57387	Momotidae
species:ncbi:218673	Sulfitobacter dubius 
species:ncbi:61379	gato de patas negras
species:ncbi:257454	Arthrobacter psychrophenolicus 
species:ncbi:2149	Mesoplasma entomophilum 
species:ncbi:225323	Allomonas enterica 
species:ncbi:476430	Cediopsylla 
species:ncbi:390383	Xenolepidichthys dalgleishi
species:ncbi:56286	Mimizuku
species:ncbi:545162	Hybognathus hayi 
species:ncbi:56084	Campephilus
species:ncbi:4926	Pichia membranaefaciens
species:ncbi:8598	Atractaspididae 
species:ncbi:8267	halibut del Atlántico
species:ncbi:40119	sub Parvovirinae
species:ncbi:28004	Blastocrithidia 
species:ncbi:66427	Streptomyces olivoverticillatus 
species:ncbi:747545	Craterellus fallax 
species:ncbi:191813	Somniosus microcephalus 
species:ncbi:8787	Casuarius casuarius
species:ncbi:4544	poa
species:ncbi:201688	Lepomis auritus 
species:ncbi:6258	Baylisascaris, SAI
species:ncbi:287986	Amycolatopsis rifamycinica
species:ncbi:150203	Blastomonas
species:ncbi:183904	Etheostoma kanawhae
species:ncbi:1428164	sorgo sudanense
species:ncbi:30405	perdiz roul roul
species:ncbi:69963	Azorhizophilus paspali 
species:ncbi:7460	abeja de la miel
species:ncbi:158627	Pseudomonas graminis
species:ncbi:9918	Bubalus 
species:ncbi:106413	Streptosporangium purpuratum
species:ncbi:236582	Moxostoma hamiltoni
species:ncbi:109790	Lactobacillus jensenii
species:ncbi:60471	Loriculus galgulus 
species:ncbi:1351	Streptococcus faecalis
species:ncbi:1243	Leuconostoc 
species:ncbi:85915	Pleomassariaceae 
species:ncbi:66872	Streptomyces baarnensis
species:ncbi:1041525	Mansonia annulata
species:ncbi:94695	Methanosarcinales
species:ncbi:745368	Gemmiger formicilis
species:ncbi:544418	Scarus taeniopterus 
species:ncbi:50	Chondromyces 
species:ncbi:253859	Bothus ocellatus
species:ncbi:9828	pecarí 
species:ncbi:95763	Frullania
species:ncbi:205927	Pseudeurotium ovale 
species:ncbi:2039642	Indian darter 
species:ncbi:132933	Actinomyces funkei
species:ncbi:399595	trompetero de cuello blanco 
species:ncbi:129462	Micrurus hemprichii
species:ncbi:722631	Fundulus cingulatus 
species:ncbi:8608	Boulengerina
species:ncbi:125069	Pauxi
species:ncbi:75034	Pomatomus saltatrix 
species:ncbi:303588	Cercopithecus campbelli
species:ncbi:201697	Pomoxis annularis 
species:ncbi:5417	Cryptococcus humicola
species:ncbi:186188	Xylanimonas
species:ncbi:1771	Mycobacterium phlei
species:ncbi:172420	zorzal del bosque
species:ncbi:241763	Dinemellia dinemelli
species:ncbi:5777	Hartmannella 
species:ncbi:1416745	virus Salanga 
species:ncbi:51197	Syntrophobotulus glycolicus
species:ncbi:10368	virus herpes humano 6
species:ncbi:55214	Brenneria salicis 
species:ncbi:212111	Thiospirillum
species:ncbi:182136	Bacillus barbaricus
species:ncbi:81368	lampridae - pez luna 
species:ncbi:158143	pasto de búfalo
species:ncbi:508662	Aedes nigripes 
species:ncbi:226848	Sciurotamias 
species:ncbi:731	Haemophilus somnus
species:ncbi:9675	Paguma larvata
species:ncbi:175115	irenidae 
species:ncbi:459858	Mycobacterium noviomagense 
species:ncbi:68174	Streptomyces anthocyanicus
species:ncbi:551759	Aromatoleum 
species:ncbi:59586	Corynespora cassicola 
species:ncbi:9597	Pan paniscus 
species:ncbi:7206	tábano
species:ncbi:79270	Desulfurella kamchatkensis
species:ncbi:338465	Old World flycatcher 
species:ncbi:11983	virus Norwalk 
species:ncbi:54344	Etheostoma stigmaeum 
species:ncbi:13239	Psittacus 
species:ncbi:3869	Lupinus 
species:ncbi:137585	Fimbriaria, SAI
species:ncbi:35517	Eubacterium brachy 
species:ncbi:41805	Babyrousa 
species:ncbi:211589	Herbaspirillum chlorophenolicum
species:ncbi:115553	Halomonas sulfidaeris 
species:ncbi:138117	Quatrionicoccus
species:ncbi:173247	Echeneis naucrates 
species:ncbi:28123	Bacteroides asaccharolyticus 
species:ncbi:160713	Epinephelus adscensionis 
species:ncbi:1076596	Acetobacter persici 
species:ncbi:64297	sub del virus Uganda S
species:ncbi:28450	Burkholderia pseudomallei 
species:ncbi:631	Yersinia intermedia 
species:ncbi:1704195	Cynodon aethiopicus 
species:ncbi:64976	Oceanospirillum beijerinckii
species:ncbi:238210	Theileria separata 
species:ncbi:21199	Asclepias
species:ncbi:139053	Orthopodomyia 
species:ncbi:191891	Poinciana gilliesii
species:ncbi:258591	Halomonas anticariensis 
species:ncbi:65352	Erysimum 
species:ncbi:4113	patata irlandesa
species:ncbi:1955447	Anthopsis 
species:ncbi:297801	Anous
species:ncbi:8495	lagarto de Indias 
species:ncbi:5075	Penicillium camemberti
species:ncbi:951	Neorickettsia sennetsu 
species:ncbi:126726	Lampetra minima
species:ncbi:255474	Parvularculaceae 
species:ncbi:220754	Marinibacillus campisalis 
species:ncbi:541000	Ruminococcaceae
species:ncbi:241531	chivirín pantanero 
species:ncbi:263910	Nocardia anaemiae 
species:ncbi:4697	Narcissus 
species:ncbi:37592	Sternotherus
species:ncbi:507039	Dasypsyllus gallinulae 
species:ncbi:3621	Rheum rhaponicum
species:ncbi:13575	Istiophorus platypterus
species:ncbi:2717	Cardiobacterium 
species:ncbi:119412	Musophaga rossae
species:ncbi:158895	Comandonia
species:ncbi:72296	Ostertagia lyrata
species:ncbi:28132	Prevotella melaninogenica
species:ncbi:176023	Eclectus
species:ncbi:51758	Acanthurus chirurgus
species:ncbi:1314	Streptococcus,  A
species:ncbi:33128	ababol
species:ncbi:61467	manorina campanera 
species:ncbi:83681	s de Nonomuraea 
species:ncbi:61405	Leptailurus serval
species:ncbi:1565589	virus Kasba 
species:ncbi:43148	golondrina
species:ncbi:9256	Ornithorhynchidae 
species:ncbi:42744	Cylindrocarpon lichenicola
species:ncbi:397309	Pitta moluccensis
species:ncbi:39752	Entomobirnavirus 
species:ncbi:386414	Prevotella timonensis 
species:ncbi:8505	rhynchocephalia 
species:ncbi:1453409	virus Paramushir
species:ncbi:7810	tiburón de cola pequeña
species:ncbi:2056	Sphaerobacter 
species:ncbi:33907	Pseudonocardia alni 
species:ncbi:156693	Notropis amoenus
species:ncbi:76980	Ahrensia kielensis
species:ncbi:40753	Thioploca chileae
species:ncbi:99174	Besnoitia jellisoni 
species:ncbi:665312	Etheostoma longimanum 
species:ncbi:54736	Salmonella bongori
species:ncbi:6202	tenia
species:ncbi:33608	buitre egipcio
species:ncbi:11176	paramixovirus aviario 1 
species:ncbi:13403	Carya glabra
species:ncbi:1600	Lactobacillus acetotolerans 
species:ncbi:160388	Alternaria dianthicola 
species:ncbi:163869	Pseudoalteromonas sagamiensis
species:ncbi:291644	Bacteroides salyersiae 
species:ncbi:519977	Bacillus korlensis
species:ncbi:1257	Peptoestreptococcus 
species:ncbi:9634	Helarctos malayensis 
species:ncbi:160714	Epinephelus analogus 
species:ncbi:367827	Streptomyces tritolerans
species:ncbi:237430	carbonero sultán 
species:ncbi:1786	Mycobacterium sphagni
species:ncbi:1523893	anianiau 
species:ncbi:100937	mandril de Guinea
species:ncbi:1001921	galleguito esturión
species:ncbi:3208	Bryophyte
species:ncbi:2289	Desulfobacter 
species:ncbi:1182015	Malacanthus plumieri
species:ncbi:9082	Bambusicola
species:ncbi:34835	Atherurus
species:ncbi:29562	Mycoplasma ovipneumoniae 
species:ncbi:5068	Aspergillus tubingensis
species:ncbi:11234	virus del sarampión
species:ncbi:45006	Calla 
species:ncbi:50256	sita enana 
species:ncbi:1603	Lactobacillus amylophilus
species:ncbi:289301	Culicoides obsoletus
species:ncbi:10842	Microvirus 
species:ncbi:182946	hornero
species:ncbi:9359	Dasypodidae 
species:ncbi:60877	virus Tonate 
species:ncbi:9206	Phalacrocoracidae
species:ncbi:58319	Scardinius erythrophthalmus 
species:ncbi:188338	Coracias garrulus 
species:ncbi:1216055	Macrozamia heteromera 
species:ncbi:37572	mariposa 
species:ncbi:42314	Petriella setifera 
species:ncbi:9319	Macropus robustus
species:ncbi:10860	Inoviridae
species:ncbi:182676	Neurotrichus
species:ncbi:381024	Dicaeum hirundinaceum
species:ncbi:9776	Trichechus 
species:ncbi:722433	Conodon nobilis 
species:ncbi:152180	Ahrensia 
species:ncbi:840	Prevotella loescheii
species:ncbi:4346	rododendro
species:ncbi:27583	Chlamydoselachidae 
species:ncbi:116557	Phyllopoda
species:ncbi:946678	Flavobacterium araucananum 
species:ncbi:43769	Corynebacterium propinquum
species:ncbi:27794	tortuga laúd 
species:ncbi:279950	Lophodytes 
species:ncbi:44570	tribu Simuliini 
species:ncbi:180541	Salinisphaera
species:ncbi:83400	Roseospirillum
species:ncbi:68723	Canis adustus 
species:ncbi:6040	Porifera
species:ncbi:112268	Anopheles minimus
species:ncbi:121821	Roseinatronobacter thiooxidans 
species:ncbi:839	Bacteroides ruminicola - RETIRADO -
species:ncbi:33706	citomegalovirus del cuí
species:ncbi:134631	besugo plateado
species:ncbi:106590	Cupriavidus necator 
species:ncbi:9498	cebidae
species:ncbi:9182	Phylloscopus trochilus
species:ncbi:6913	Orbweaver spider 
species:ncbi:76745	Ensifer arboris
species:ncbi:71274	Asteridae
species:ncbi:2042490	Eimeria suis 
species:ncbi:3988	planta de aceite de ricino
species:ncbi:53993	Cyathostomum (concepto no activo)
species:ncbi:8313	Three-toed amphiuma
